station,network,code,band,rate,km,route,P,S,picks,fetched
IV.EPZF,IV,EPZF,HH,100.0,15.020001867470349,INGV,108,106,214,True
IV.MUCR,IV,MUCR,HH,100.0,34.406222685293294,INGV,106,66,172,True
IV.EMSG,IV,EMSG,HH,100.0,9.023968024763668,INGV,107,60,167,True
IV.ESVO,IV,ESVO,HH,100.0,5.32767386924123,INGV,90,61,151,True
IV.ECZM,IV,ECZM,HH,100.0,8.684854356256084,INGV,84,60,144,True
IV.ESML,IV,ESML,HH,100.0,18.102739067435483,INGV,102,42,144,True
IV.ESCV,IV,ESCV,HH,100.0,16.25077032668916,INGV,65,65,130,False
IV.GALF,IV,GALF,HH,100.0,38.3716303153182,INGV,65,65,130,False
IV.HLNI,IV,HLNI,HH,100.0,46.04672723373432,INGV,64,64,128,False
IV.EPIT,IV,EPIT,HH,100.0,8.443078687327379,INGV,80,37,117,False
IV.EMPL,IV,EMPL,HH,100.0,8.315497633704622,INGV,81,29,110,False
IV.AIO,IV,AIO,HH,100.0,31.98886944565439,INGV,75,34,109,False
IV.EMFS,IV,EMFS,HH,100.0,3.385216428054856,INGV,63,42,105,False
IV.ESLN,IV,ESLN,HH,100.0,6.683987595655169,INGV,67,36,103,False
IV.HVZN,IV,HVZN,HH,100.0,68.3464188822192,INGV,70,32,102,False
IV.EPMN,IV,EPMN,HH,100.0,17.43609382938496,INGV,53,47,100,False
IV.ECTS,IV,ECTS,HH,100.0,18.17658243827324,INGV,56,41,97,False
IV.EMNR,IV,EMNR,HH,100.0,7.770969373367634,INGV,57,39,96,False
IV.MSFR,IV,MSFR,HH,100.0,47.756580126698154,INGV,80,16,96,False
IV.LIBRI,IV,LIBRI,HH,100.0,37.626164798461886,INGV,65,30,95,False
IV.HMDC,IV,HMDC,HH,100.0,90.01625173093781,INGV,65,29,94,False
IV.EPOZ,IV,EPOZ,HH,100.0,18.717422830874728,INGV,82,9,91,False
IV.ESPC,IV,ESPC,HH,100.0,6.83251666467411,INGV,41,41,82,False
IV.ISPIC,IV,ISPIC,HH,100.0,108.14885420815556,INGV,52,30,82,False
IV.HSRS,IV,HSRS,HH,100.0,75.65791058976798,INGV,45,32,77,False
IV.EMCN,IV,EMCN,HH,100.0,5.450421520786504,INGV,46,29,75,False
IV.ECBD,IV,ECBD,HH,100.0,8.31174666769141,INGV,43,30,73,False
IV.SSY,IV,SSY,HH,100.0,66.17834029276331,INGV,37,35,72,False
IV.ECHR,IV,ECHR,HH,100.0,10.433342437209753,INGV,37,33,70,False
IV.HVIT,IV,HVIT,HH,100.0,94.22955458175656,INGV,40,27,67,False
IV.MSRU,IV,MSRU,HH,100.0,72.4440477938528,INGV,57,4,61,False
IV.HCRL,IV,HCRL,HH,100.0,51.99270621943744,INGV,29,23,52,False
IV.ESAL,IV,ESAL,HH,100.0,11.837987345656616,INGV,38,11,49,False
IV.EMFO,IV,EMFO,HH,100.0,8.088675744346718,INGV,28,19,47,False
IV.ENIC,IV,ENIC,HH,100.0,13.32338123547668,INGV,33,13,46,False
IV.EMSA,IV,EMSA,HH,100.0,28.435443718736085,INGV,42,3,45,False
IV.AGST,IV,AGST,EH,100.0,58.41329433844819,INGV,23,17,40,False
IV.CROCE,IV,CROCE,HH,100.0,110.00299365853051,INGV,29,9,38,False
IV.IVPL,IV,IVPL,HH,100.0,69.66008386527588,INGV,35,0,35,False
IV.CSLB,IV,CSLB,HH,100.0,85.3105483844921,INGV,33,0,33,False
IV.EMAS,IV,EMAS,HH,100.0,19.54789053759946,INGV,28,4,32,False
IV.MILZ,IV,MILZ,HH,100.0,61.403120133625855,INGV,21,9,30,False
