key,window,t0,t1,station,network,code,band,rate,km,fetched,file,measured,n_locations,n_channels,rates_hz,covered_any_s,covered_3c_s,coverage_fraction_3c,gap_count,gap_s,covered,ref_P_window,ref_S_window,ref_P_covered,ref_S_covered,ref_P_covered_rm,ref_S_covered_rm,manual_ok_P,manual_ok_S,unknown_ok_P,unknown_ok_S,automatic_rejected_P,automatic_rejected_S,unknown_rejected_P,unknown_rejected_S,other_P,other_S
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THR2,HT,THR2,EH,100.0,22.50386289488718,True,HT.THR2__EH__20250202T234500__20250203T024500.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,96,88,96,88,96,88,96,88,0,0,0,0,2,10,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.SANT,HL,SANT,HH,100.0,28.44929988016153,True,HL.SANT__HH__20250202T234500__20250203T024500.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,93,87,93,87,93,87,93,87,0,0,0,0,3,8,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HA.SNT1,HA,SNT1,HH,100.0,25.58848291530601,True,HA.SNT1__HH__20250202T234500__20250203T024500.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,93,88,93,88,93,88,93,88,0,0,0,0,3,8,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.CMBO,HT,CMBO,HH,100.0,22.53200310848228,True,HT.CMBO__HH__20250202T234500__20250203T024500.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,92,84,92,84,92,84,92,84,0,0,0,0,2,9,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.SAP3,HL,SAP3,HH,100.0,29.18356628677781,True,HL.SAP3__HH__20250202T234500__20250203T024500.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,82,74,82,74,82,74,82,74,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THR9,HT,THR9,EH,100.0,34.596397183978155,True,HT.THR9__EH__20250202T234500__20250203T024500.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,86,72,86,72,86,72,86,72,0,0,0,0,2,8,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.APE,HL,APE,HH,100.0,53.0085953210605,False,HL.APE__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,87,80,0,0,0,0,87,80,0,0,0,0,3,5,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.THERA,HL,THERA,HH,100.0,28.20616313298028,False,HL.THERA__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,75,67,0,0,0,0,75,67,0,0,0,0,2,9,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.AKRO,HT,AKRO,HH,100.0,32.436181953772724,False,HT.AKRO__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,75,62,0,0,0,0,75,62,0,0,0,0,0,6,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.MHLO,HL,MHLO,HH,100.0,107.368350892495,False,HL.MHLO__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,75,45,0,0,0,0,75,45,0,0,0,0,0,3,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.MIL7,HL,MIL7,EH,100.0,98.89860493592452,False,HL.MIL7__EH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,71,58,0,0,0,0,71,58,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THR6,HT,THR6,EH,100.0,32.59801251842595,False,HT.THR6__EH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,73,0,0,0,0,0,73,0,0,0,0,0,2,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THR5,HT,THR5,EH,100.0,30.343781980575756,False,HT.THR5__EH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,62,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.ANYD,HT,ANYD,HH,100.0,7.715740639691277,False,HT.ANYD__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THR8,HT,THR8,EH,100.0,24.039916847459832,False,HT.THR8__EH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,65,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THR3,HT,THR3,EH,100.0,27.70411986366583,False,HT.THR3__EH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HT.THT1,HT,THT1,HH,100.0,28.269075598901388,False,HT.THT1__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HA.SNT5,HA,SNT5,HH,100.0,28.480457096290287,False,HA.SNT5__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.DILO,HL,DILO,HH,100.0,93.79382003520718,False,HL.DILO__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HA.SERI,HA,SERI,HH,100.0,117.12476674101872,False,HA.SERI__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HL.KOSD,HL,KOSD,HH,100.0,120.69645612848144,False,HL.KOSD__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,0,2025-02-02T23:45:00+00:00,2025-02-03T02:45:00+00:00,HC.THNO,HC,THNO,HH,100.0,127.91242907129296,False,HC.THNO__HH__20250202T234500__20250203T024500.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THR2,HT,THR2,EH,100.0,22.50386289488718,True,HT.THR2__EH__20250203T080000__20250203T110000.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HL.SANT,HL,SANT,HH,100.0,28.44929988016153,True,HL.SANT__HH__20250203T080000__20250203T110000.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,102,100,102,100,102,100,102,100,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HA.SNT1,HA,SNT1,HH,100.0,25.58848291530601,True,HA.SNT1__HH__20250203T080000__20250203T110000.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,100,99,100,99,100,99,100,99,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.CMBO,HT,CMBO,HH,100.0,22.53200310848228,True,HT.CMBO__HH__20250203T080000__20250203T110000.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,94,94,94,94,94,94,94,94,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HL.SAP3,HL,SAP3,HH,100.0,29.18356628677781,True,HL.SAP3__HH__20250203T080000__20250203T110000.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,98,92,98,92,98,92,98,92,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THR9,HT,THR9,EH,100.0,34.596397183978155,True,HT.THR9__EH__20250203T080000__20250203T110000.mseed,True,1.0,3.0,100,10800.0,10800.0,1.0,0.0,0.0,True,96,89,96,89,96,89,96,89,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HL.APE,HL,APE,HH,100.0,53.0085953210605,False,HL.APE__HH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,91,84,0,0,0,0,91,84,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HL.THERA,HL,THERA,HH,100.0,28.20616313298028,False,HL.THERA__HH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,86,86,0,0,0,0,86,86,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.AKRO,HT,AKRO,HH,100.0,32.436181953772724,False,HT.AKRO__HH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,73,61,0,0,0,0,73,61,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HL.MHLO,HL,MHLO,HH,100.0,107.368350892495,False,HL.MHLO__HH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,91,48,0,0,0,0,91,48,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HL.MIL7,HL,MIL7,EH,100.0,98.89860493592452,False,HL.MIL7__EH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,74,42,0,0,0,0,74,42,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THR6,HT,THR6,EH,100.0,32.59801251842595,False,HT.THR6__EH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,72,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THR5,HT,THR5,EH,100.0,30.343781980575756,False,HT.THR5__EH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,55,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.ANYD,HT,ANYD,HH,100.0,7.715740639691277,False,HT.ANYD__HH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,58,57,0,0,0,0,58,57,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THR8,HT,THR8,EH,100.0,24.039916847459832,False,HT.THR8__EH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THR3,HT,THR3,EH,100.0,27.70411986366583,False,HT.THR3__EH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
santorini_2025,1,2025-02-03T08:00:00+00:00,2025-02-03T11:00:00+00:00,HT.THT1,HT,THT1,HH,100.0,28.269075598901388,False,HT.THT1__HH__20250203T080000__20250203T110000.mseed,False,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
