station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
HT.THR2,HT,THR2,EH,100.0,36.44685,25.43535,220.0,22.50386289488718,NOA,197,189,386,True
HL.SANT,HL,SANT,HH,100.0,36.37052,25.45926,591.0,28.44929988016153,NOA,196,188,384,True
HA.SNT1,HA,SNT1,HH,100.0,36.4159,25.4282,12.0,25.58848291530601,NOA,194,188,382,True
HT.CMBO,HT,CMBO,HH,100.0,36.4709,25.4056,108.0,22.53200310848228,NOA,187,179,366,True
HL.SAP3,HL,SAP3,HH,100.0,36.4356,25.345419,173.0,29.18356628677781,NOA,181,167,348,True
HT.THR9,HT,THR9,EH,100.0,36.357716,25.357212,113.0,34.596397183978155,NOA,183,162,345,True
HL.APE,HL,APE,HH,100.0,37.07274,25.52301,608.0,53.0085953210605,NOA,179,165,344,False
HL.THERA,HL,THERA,HH,100.0,36.366992,25.475263,288.0,28.20616313298028,NOA,162,154,316,False
HT.AKRO,HT,AKRO,HH,100.0,36.35839,25.39669,179.0,32.436181953772724,NOA,148,123,271,False
HL.MHLO,HL,MHLO,HH,100.0,36.68984,24.40171,175.0,107.368350892495,NOA,167,94,261,False
HL.MIL7,HL,MIL7,EH,100.0,36.71023,24.49983,20.0,98.89860493592452,NOA,145,100,245,False
HT.THR6,HT,THR6,EH,100.0,36.3562,25.3975,119.0,32.59801251842595,NOA,145,0,145,False
HT.THR5,HT,THR5,EH,100.0,36.4172,25.3479,180.0,30.343781980575756,NOA,117,0,117,False
HT.ANYD,HT,ANYD,HH,100.0,36.630012,25.677949,56.0,7.715740639691277,NOA,58,57,115,False
HT.THR8,HT,THR8,EH,100.0,36.407,25.47877,30.0,24.039916847459832,NOA,115,0,115,False
HT.THR3,HT,THR3,EH,100.0,36.4091,25.4008,71.0,27.70411986366583,NOA,11,0,11,False
HT.THT1,HT,THT1,HH,100.0,36.385841,25.429562,0.0,28.269075598901388,NOA,0,0,0,False
HA.SNT5,HA,SNT5,HH,100.0,36.4037,25.3953,124.0,28.480457096290287,NOA,0,0,0,False
HL.DILO,HL,DILO,HH,100.0,37.401112,25.269207,2.0,93.79382003520718,NOA,0,0,0,False
HA.SERI,HA,SERI,HH,100.0,37.1609,24.4853,460.0,117.12476674101872,NOA,0,0,0,False
HL.KOSD,HL,KOSD,HH,100.0,36.70273,26.94695,243.0,120.69645612848144,NOA,0,0,0,False
HC.THNO,HC,THNO,HH,100.0,37.6541,25.0221,273.0,127.91242907129296,NOA,0,0,0,False
