station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
HL.THL,HL,THL,HH,100.0,39.56468,22.0144,86.0,26.01956395889542,NOA,73,73,146,True
HT.TYRN,HT,TYRN,HH,100.0,39.711,22.2325,151.0,5.150535754846073,NOA,64,64,128,True
HT.LIT,HT,LIT,HH,100.0,40.10031,22.48938,517.0,46.109058500307654,NOA,62,55,117,True
HL.KZN,HL,KZN,HH,100.0,40.30331,21.78209,791.0,71.0709719970263,NOA,66,51,117,True
HT.AGG,HT,AGG,HH,100.0,39.0211,22.336,625.0,81.88474388793172,NOA,64,45,109,True
HL.TETR,HL,TETR,HH,100.0,39.3445,21.274667,942.0,91.25277864935988,NOA,66,43,109,True
HL.EVR,HL,EVR,HH,100.0,38.91657,21.8105,1037.0,98.53734351244223,NOA,63,44,107,False
HL.NEO,HL,NEO,HH,100.0,39.30567,23.22189,148.0,100.60523624441284,NOA,60,37,97,False
HT.KPRO,HT,KPRO,HH,100.0,39.95495,21.36321,837.0,74.97532242260107,NOA,59,36,95,False
HT.XOR,HT,XOR,HH,100.0,39.36598,23.19178,541.0,95.13976764734748,NOA,55,27,82,False
HP.PRMD,HP,PRMD,HH,100.0,39.5299,21.0965,832.0,97.60319143558644,NOA,45,29,74,False
HL.PENT,HL,PENT,HH,100.0,40.196088,21.138042,1134.0,103.19081568300712,NOA,49,22,71,False
HP.ANX,HP,ANX,HH,100.0,38.5933,21.9209,1020.0,130.84412488202804,NOA,43,24,67,False
HT.THE,HT,THE,HH,100.0,40.6319,22.9628,132.0,117.52869016339432,NOA,42,19,61,False
HT.GRG,HT,GRG,HH,100.0,40.9557,22.4029,558.0,135.15959106575386,NOA,45,15,60,False
HA.KALE,HA,KALE,HH,100.0,38.3911,22.1398,760.0,151.18541954211062,NOA,44,11,55,False
HT.HORT,HT,HORT,HH,100.0,40.5978,23.0996,933.0,121.35605889653586,NOA,44,9,53,False
HP.PVO,HP,PVO,HH,100.0,38.616,21.525,184.0,138.8620642000527,NOA,43,10,53,False
HL.JAN,HL,JAN,HH,100.0,39.65616,20.84874,526.0,116.06333637511428,NOA,33,18,51,False
HT.OUR,HT,OUR,HH,100.0,40.3325,23.9791,117.0,164.71003772442168,NOA,42,9,51,False
HP.AMPL,HP,AMPL,HH,100.0,38.9224,21.2135,260.0,125.15925349582469,NOA,33,16,49,False
HL.PLG,HL,PLG,HH,100.0,40.37328,23.44443,566.0,126.55911122699082,NOA,44,4,48,False
HT.SOH,HT,SOH,HH,100.0,40.82061,23.35568,677.0,154.20286191919678,NOA,40,8,48,False
HP.EFP,HP,EFP,HH,100.0,38.4269,21.9058,107.0,149.29014269146992,NOA,35,12,47,False
HP.PDO,HP,PDO,HH,100.0,38.5986,21.1833,227.0,155.1437818060834,NOA,41,6,47,False
HP.SERG,HP,SERG,HH,100.0,38.4133,22.0566,480.0,149.14206217374823,NOA,32,13,45,False
HT.PAIG,HT,PAIG,HH,100.0,39.9363,23.6768,163.0,127.76591851608352,NOA,30,12,42,False
HP.PLEV,HP,PLEV,HH,100.0,38.4124,21.4073,168.0,163.70848183656432,NOA,33,7,40,False
HT.IGT,HT,IGT,HH,100.0,39.53145,20.32996,240.0,161.94872946930505,NOA,32,7,39,False
HT.AOS2,HT,AOS2,HH,100.0,39.1478,23.8436,185.0,156.1955591593861,NOA,28,6,34,False
HL.LKR,HL,LKR,HH,100.0,38.64957,22.998812,192.0,140.3865690029959,NOA,26,7,33,False
HP.VVK,HP,VVK,HH,100.0,38.4222,21.8116,650.0,151.39523036960009,NOA,25,6,31,False
HA.AXAR,HA,AXAR,HH,100.0,38.7664,22.659,406.0,116.28644650403176,NOA,0,0,0,False
HT.NEST,HT,NEST,HH,100.0,40.4147,21.0489,999.0,122.68607771066668,NOA,0,0,0,False
HT.FNA,HT,FNA,HH,100.0,40.7817,21.3836,806.0,134.00330608734842,NOA,0,0,0,False
HA.ATAL,HA,ATAL,HH,100.0,38.6926,23.0213,290.0,137.21475083219983,NOA,0,0,0,False
HP.DSF,HP,DSF,HH,100.0,38.4112,22.5271,701.0,151.5144505301261,NOA,0,0,0,False
HA.MRKA,HA,MRKA,HH,100.0,38.70467,23.58628,466.0,166.62915940290287,NOA,0,0,0,False
