sequence,region,operator,weights,phase,analyst,matched,recall_at_0.3,MAE_s,bias_s,extra,budget_mid,recall_at_budget_q26,recall_at_budget_jma,diff_at_budget,source
Kaikoura 2016,non-US,GeoNet,quakescope2026,P,357,236,0.661,0.139,0.077,1390,1367,0.608,0.624,-0.016,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Kaikoura 2016,non-US,GeoNet,jma_wc,P,357,251,0.703,0.139,0.062,1564,1367,0.608,0.624,-0.016,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Kaikoura 2016,non-US,GeoNet,quakescope2026,S,458,230,0.502,0.162,0.034,761,1034,0.516,0.522,-0.006,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Kaikoura 2016,non-US,GeoNet,jma_wc,S,458,238,0.520,0.163,-0.026,791,1034,0.516,0.522,-0.006,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Norcia 2016,non-US,INGV,quakescope2026,P,701,535,0.763,0.049,0.000,725,982,0.691,0.705,-0.014,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Norcia 2016,non-US,INGV,jma_wc,P,701,557,0.795,0.048,0.000,786,982,0.691,0.705,-0.014,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Norcia 2016,non-US,INGV,quakescope2026,S,656,488,0.744,0.064,0.010,660,975,0.668,0.686,-0.018,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Norcia 2016,non-US,INGV,jma_wc,S,656,510,0.777,0.069,-0.020,684,975,0.668,0.686,-0.018,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Thessaly 2021,non-US,NOA,quakescope2026,P,395,284,0.719,0.129,0.021,1355,1439,0.683,0.705,-0.022,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Thessaly 2021,non-US,NOA,jma_wc,P,395,295,0.747,0.135,0.021,1431,1439,0.683,0.705,-0.022,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Thessaly 2021,non-US,NOA,quakescope2026,S,331,129,0.390,0.129,0.034,785,1181,0.410,0.413,-0.003,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Thessaly 2021,non-US,NOA,jma_wc,S,331,133,0.402,0.132,0.024,918,1181,0.410,0.413,-0.003,QuakeScope/reports/phasenet_global_sequences.html sections 5-7 (run 2026-09-07)
Ridgecrest,western US,SCEDC/NCEDC,quakescope2026,P,347,210,0.605,0.040,,142,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Ridgecrest,western US,SCEDC/NCEDC,jma_wc,P,347,202,0.582,0.033,,136,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Ridgecrest,western US,SCEDC/NCEDC,quakescope2026,S,298,154,0.517,0.053,,137,370,0.663,0.639,0.024,QuakeScope/reports/README.md matched-budget table (S; three budgets 287/370/535)
Ridgecrest,western US,SCEDC/NCEDC,jma_wc,S,298,145,0.487,0.064,,134,370,0.663,0.639,0.024,QuakeScope/reports/README.md matched-budget table (S; three budgets 287/370/535)
San Simeon,western US,SCEDC/NCEDC,quakescope2026,P,62,51,0.823,0.067,,322,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
San Simeon,western US,SCEDC/NCEDC,jma_wc,P,62,53,0.855,0.066,,556,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
San Simeon,western US,SCEDC/NCEDC,quakescope2026,S,16,12,0.750,0.020,,179,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
San Simeon,western US,SCEDC/NCEDC,jma_wc,S,16,12,0.750,0.035,,225,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Monte Cristo,western US,SCEDC/NCEDC,quakescope2026,P,16,12,0.750,0.047,,714,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Monte Cristo,western US,SCEDC/NCEDC,jma_wc,P,16,13,0.812,0.051,,856,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Monte Cristo,western US,SCEDC/NCEDC,quakescope2026,S,12,5,0.417,0.219,,457,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Monte Cristo,western US,SCEDC/NCEDC,jma_wc,S,12,6,0.500,0.236,,504,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Mendocino 2024,western US,SCEDC/NCEDC,quakescope2026,P,200,166,0.830,0.071,,318,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Mendocino 2024,western US,SCEDC/NCEDC,jma_wc,P,200,180,0.900,0.074,,544,,,,,QuakeScope/reports/phasenet_sequence_comparison.html section 5 (2026-08-20 notebook)
Mendocino 2024,western US,SCEDC/NCEDC,quakescope2026,S,113,70,0.619,0.086,,297,380,0.627,0.635,-0.008,QuakeScope/reports/phasenet_sequence_comparison.html sections 5 and 8 (S matched budget 380)
Mendocino 2024,western US,SCEDC/NCEDC,jma_wc,S,113,77,0.681,0.101,,353,380,0.627,0.635,-0.008,QuakeScope/reports/phasenet_sequence_comparison.html sections 5 and 8 (S matched budget 380)
