key,phase,candidate,recall_parent,recall_candidate,diff,lo,hi,n_stations,n_ref
adriatic_2022,P,instance,0.848,0.878,0.03,0.005,0.058,6,400
adriatic_2022,P,quakescope2026,0.848,0.838,-0.01,-0.027,0.005,6,400
adriatic_2022,S,instance,0.538,0.692,0.154,0.047,0.218,6,357
adriatic_2022,S,quakescope2026,0.538,0.543,0.006,-0.035,0.053,6,357
corinth_thiva_2020,P,instance,0.806,0.833,0.028,-0.026,0.087,6,108
corinth_thiva_2020,P,quakescope2026,0.806,0.824,0.019,-0.018,0.06,6,108
corinth_thiva_2020,S,instance,0.437,0.609,0.172,0.08,0.31,6,87
corinth_thiva_2020,S,quakescope2026,0.437,0.471,0.034,-0.011,0.077,6,87
etna_2022_2024,P,instance,0.972,0.99,0.018,0.008,0.029,6,597
etna_2022_2024,P,quakescope2026,0.972,0.98,0.008,0.002,0.015,6,597
etna_2022_2024,S,instance,0.539,0.722,0.182,0.113,0.239,6,395
etna_2022_2024,S,quakescope2026,0.539,0.557,0.018,-0.046,0.064,6,395
kaikoura_2016,P,instance,0.703,0.751,0.048,0.0,0.132,6,357
kaikoura_2016,P,quakescope2026,0.703,0.695,-0.008,-0.033,0.033,6,357
kaikoura_2016,S,instance,0.52,0.705,0.186,0.146,0.229,6,458
kaikoura_2016,S,quakescope2026,0.52,0.502,-0.017,-0.068,0.034,6,458
norcia_2016,P,instance,0.795,0.819,0.024,-0.018,0.062,6,701
norcia_2016,P,quakescope2026,0.795,0.786,-0.009,-0.024,0.004,6,701
norcia_2016,S,instance,0.779,0.886,0.107,0.054,0.151,6,656
norcia_2016,S,quakescope2026,0.779,0.767,-0.012,-0.026,0.005,6,656
samos_2020,P,instance,0.294,0.471,0.176,0.0,0.25,3,34
samos_2020,P,quakescope2026,0.294,0.382,0.088,0.0,0.133,3,34
samos_2020,S,instance,0.083,0.208,0.125,0.0,0.214,3,24
samos_2020,S,quakescope2026,0.083,0.083,0.0,0.0,0.0,3,24
thessaly_2021,P,instance,0.747,0.77,0.023,-0.007,0.055,6,395
thessaly_2021,P,quakescope2026,0.747,0.732,-0.015,-0.034,0.002,6,395
thessaly_2021,S,instance,0.402,0.444,0.042,0.0,0.09,6,331
thessaly_2021,S,quakescope2026,0.402,0.399,-0.003,-0.019,0.018,6,331
