weight,tier,n_traces,p_recall,p_med_prob,p_mae_s,p_outlier,mcc
geofon,D,1444,0.7749,0.5521,0.9168,0.1884,
jma_wc,B,1444,0.2382,0.0826,1.8033,0.4571,
jma,B,1444,0.2403,0.06,1.8405,0.4661,
volpick,B,1444,0.277,0.0294,1.844,0.4501,
instance,A,1444,0.1309,0.0036,2.0496,0.4972,
scedc,C,1444,0.0935,0.0061,2.2232,0.5602,
ethz,C,1444,0.0651,0.0007,2.3391,0.5956,
pisdl,B,1444,0.0346,0.0166,2.4474,0.6337,
iquique,C,1444,0.0312,0.0012,2.4868,0.662,
stead,A,1444,0.0145,0.0,2.5167,0.6489,
obs,B,1444,0.0374,0.0013,2.7676,0.7008,
lendb,C,1444,0.0014,0.0,3.0352,0.7895,
